"","ITEM","BANDA","UBICACIÓN -   N° COLUMNA ALUMBRADO","PROGRESIVA","NUMERO DE CARRIL","PRIORIDAD","OBSERVACIONES","fecha","turno","tiempo"
"1","1","A",NA,"1+339","3","1","BACHE","45542","MAÑANA","BUENO"
"2","2","A",NA,"2+224","1","1","BACHE","45542","MAÑANA","BUENO"
"3","3","A",NA,"2+224","3","2","BACHE","45542","MAÑANA","BUENO"
"4","4","A",NA,"3+545","2","1","BACHE","45542","MAÑANA","BUENO"
"5","5","A",NA,"4+154","2","1","BACHE","45542","MAÑANA","BUENO"
"6","6","A",NA,"4+500","METROBUS","2","4 BACHES","45542","MAÑANA","BUENO"
"7","7","A",NA,"4+700","METROBUS","1","BACHE","45542","MAÑANA","BUENO"
"8","8","B",NA,"0+905","2","2","BACHE","45542","MAÑANA","BUENO"
"9","9","B",NA,"4+005","3","1","BACHE","45542","MAÑANA","BUENO"
"10","1","A",NA,"0+339","3","2","BACHE","45542","MAÑANA","BUENO"
"11","2","A",NA,"2+452","2","1","BACHE","45542","MAÑANA","BUENO"
"12",NA,"A",NA,"3+210","2","2","BACHE","45542","MAÑANA","BUENO"
"13","4","A",NA,"3+564","1","1","2 BACHES","45542","MAÑANA","BUENO"
"14","5","A",NA,"4+437","2","1","BACHE EN CORDON","45542","MAÑANA","BUENO"
"15","6","A",NA,"4+577","1","1","BACHE","45542","MAÑANA","BUENO"
"16","7","A",NA,"4+700","1","2","BACHE","45542","MAÑANA","BUENO"
"17","8","A",NA,"4+970","1","1","BACHE EN CORDON","45542","MAÑANA","BUENO"
"18","9","B",NA,"4+970","1","2","BACHE","45542","MAÑANA","BUENO"
"19","1","A",NA,"JUNTA 24","1","1","BACHE","45542","MAÑANA","BUENO"
"20","2","A",NA,"ENTRE JUNTA 25 Y 26","1","1","BACHE","45542","MAÑANA","BUENO"
"21","3","A",NA,"ENTRE JUNTA 26 Y 27","2","2","BACHE","45542","MAÑANA","BUENO"
"22","4","A",NA,"INGRESO CASTAÑARES","1","1","BACHE","45542","MAÑANA","BUENO"
"23","5","A",NA,"SALIDA AU 1","1","1","BACHE","45542","MAÑANA","BUENO"
"24","6","B",NA,"JUNTA 20","1","1","BACHE","45542","MAÑANA","BUENO"
"25","7","B",NA,"JUNTA 22","2","2","BACHE","45542","MAÑANA","BUENO"
"26","8","B",NA,"JUNTA 23","1","1","2 BACHES","45542","MAÑANA","BUENO"
"27","1","A",NA,"1+092","1","2","BACHE","45542","MAÑANA","BUENO"
"28","2","A",NA,"1+848","1","2","BACHE","45542","MAÑANA","BUENO"
"29","3","A",NA,"2+082","1","2","BACHE","45542","MAÑANA","BUENO"
"30","4","A",NA,"2+160","1","2","BACHE","45542","MAÑANA","BUENO"
"31","5","A",NA,"2+640","1","2","BACHE","45542","MAÑANA","BUENO"
"32","6","A",NA,"2+742","1","1","2 BACHES","45542","MAÑANA","BUENO"
"33","7","A",NA,"2+950","CARRIL DESACELERACION","1","BACHE","45542","MAÑANA","BUENO"
"34","8","B",NA,"S/N","1","2","BACHE","45542","MAÑANA","BUENO"
"35","9","B",NA,"0+420","1","1","BACHE","45542","MAÑANA","BUENO"
"36","10","B",NA,"1+990","2 Y 3","2","2 BACHES","45542","MAÑANA","BUENO"
"37","11","B",NA,"2+161","1","2","BACHE","45542","MAÑANA","BUENO"
"38","12","B",NA,"2+230","1","1","BACHE","45542","MAÑANA","BUENO"
"39","13","B",NA,"2+514","1","2","BACHE","45542","MAÑANA","BUENO"
"40","14","B",NA,"2+766","1","1","BACHE","45542","MAÑANA","BUENO"
"41","15","B",NA,"3+102","3","1","3 BACHES","45542","MAÑANA","BUENO"
"42","16","B",NA,NA,NA,NA,NA,"45542","MAÑANA","BUENO"
"43","1","A",NA,"3+100","1","2","BACHE","45542","MAÑANA","BUENO"
"44","1","SUR",NA,"1+000","2","1","BACHE","45542","MAÑANA","BUENO"
"45","2","SUR",NA,"5+000","1","1","BACHE","45542","MAÑANA","BUENO"
"46","1","B",NA,"8+400","2","1","BACHE","45542","MAÑANA","BUENO"
"47","1","A",NA,"6+900","1 Y BANQUINA","2","3 BACHES","45542","MAÑANA","BUENO"
"48","1","A",NA,"SUBIDA ESCALADA","1","1","BACHE","45542","MAÑANA","BUENO"
